id,part,operation,tool,width_mm,depth_mm,reference,note
Front-L-A1,Front-L · Side L,joint for bottom,dado stack / straight bit,18.0,9.0,near the bottom edge,cut to the mating panel thickness for a snug fit
Front-L-A1,Front-L · Side R,joint for bottom,dado stack / straight bit,18.0,9.0,near the bottom edge,cut to the mating panel thickness for a snug fit
Front-L-A1,Front-L · Side / top / bottom,rabbet for back,rabbet bit / dado,6.0,6.0,rear edge,back sits flush in the rabbet
Front-L-E1,Front-L · Drawer 1 box,dovetail corners,dovetail jig / saw,0.0,12.0,tails on the sides,tails on the sides so the front can't pull off
Front-L-E1,Front-L · Drawer 1 box sides,groove for bottom,straight bit / dado,6.0,6.0,~10mm up from the bottom edge,
Front-L-E4,Front-L · Drawer 2 box,dovetail corners,dovetail jig / saw,0.0,12.0,tails on the sides,tails on the sides so the front can't pull off
Front-L-E4,Front-L · Drawer 2 box sides,groove for bottom,straight bit / dado,6.0,6.0,~10mm up from the bottom edge,
Front-L-E7,Front-L · Drawer 3 box,dovetail corners,dovetail jig / saw,0.0,12.0,tails on the sides,tails on the sides so the front can't pull off
Front-L-E7,Front-L · Drawer 3 box sides,groove for bottom,straight bit / dado,6.0,6.0,~10mm up from the bottom edge,
Front-M-A1,Front-M · Side L,joint for bottom,dado stack / straight bit,18.0,9.0,near the bottom edge,cut to the mating panel thickness for a snug fit
Front-M-A1,Front-M · Side R,joint for bottom,dado stack / straight bit,18.0,9.0,near the bottom edge,cut to the mating panel thickness for a snug fit
Front-M-A1,Front-M · Side / top / bottom,rabbet for back,rabbet bit / dado,6.0,6.0,rear edge,back sits flush in the rabbet
Front-M-E1,Front-M · Drawer 1 box,dovetail corners,dovetail jig / saw,0.0,12.0,tails on the sides,tails on the sides so the front can't pull off
Front-M-E1,Front-M · Drawer 1 box sides,groove for bottom,straight bit / dado,6.0,6.0,~10mm up from the bottom edge,
Front-M-E4,Front-M · Drawer 2 box,dovetail corners,dovetail jig / saw,0.0,12.0,tails on the sides,tails on the sides so the front can't pull off
Front-M-E4,Front-M · Drawer 2 box sides,groove for bottom,straight bit / dado,6.0,6.0,~10mm up from the bottom edge,
Front-M-E7,Front-M · Drawer 3 box,dovetail corners,dovetail jig / saw,0.0,12.0,tails on the sides,tails on the sides so the front can't pull off
Front-M-E7,Front-M · Drawer 3 box sides,groove for bottom,straight bit / dado,6.0,6.0,~10mm up from the bottom edge,
Front-R-A1,Front-R · Side L,joint for bottom,dado stack / straight bit,18.0,9.0,near the bottom edge,cut to the mating panel thickness for a snug fit
